hour,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,4.85,3.99,7.14,6.21,5.81,5.77,5.93
1,17.64,3.93,5.88,6.11,4.6,4.65,4.57
2,3.25,3.5,5.03,5.34,3.55,3.29,3.42
3,2.52,3.02,4.24,4.84,2.88,2.74,2.83
4,2.08,2.29,3.54,4.18,2.32,2.16,2.08
5,1.52,1.81,2.69,3.32,1.63,1.44,1.49
6,1.21,1.51,2.21,2.79,1.29,1.27,1.4
7,1.35,1.67,1.9,2.5,1.6,1.41,1.44
8,1.46,2.12,1.92,2.74,1.75,1.78,1.73
9,1.5,1.81,2.11,2.47,1.74,1.6,1.63
10,1.46,1.55,1.72,2.22,1.51,1.38,1.59
11,1.87,1.91,2.07,2.02,1.97,1.9,2.07
12,2.89,3.59,2.32,2.33,3.58,3.57,3.47
13,4.45,5.2,3.1,2.76,5.58,5.54,5.54
14,4.65,6.16,4.02,3.42,5.95,6.57,6.42
15,4.91,5.8,4.75,4.18,5.98,6.11,5.76
16,4.41,5.4,5.14,4.47,5.28,5.54,5.11
17,4.65,5.93,5.73,4.73,5.85,6.32,5.83
18,5.47,6.01,5.99,5.46,5.99,5.8,6.25
19,5.36,5.83,5.63,5.55,5.46,5.44,6.02
20,5.13,6.15,5.96,5.63,5.87,5.48,6.05
21,5.53,6.7,5.66,5.72,6.11,6.05,6.19
22,5.93,7.12,5.62,5.68,6.86,6.85,6.56
23,5.9,7.01,5.64,5.32,6.83,7.34,6.62
